objectid,type,format,display_template:,filename,title,date,item_information,description,subject,creator,original-identifier,rights,recipient
flickr_test_set_01,Photograph,image/jpeg,image,_2184163393_o.jpg,?,2007-26-12,Fri Jan 11 00:46:35 GMT-0500 2008,(no description) Photo taken on: Wed Dec 26 19:17:51 GMT-0500 2007,color;photo;durham;nc;christmas2007;ezra;christmas07;northcarolina;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/2184163393/,Creative Commons (http://creativecommons.org/licenses),2
flickr_test_set_02,Photograph,image/jpeg,image,_bergfoss_1864289_o.jpg,_bergfoss,2004-2-12,Thu Dec 2 15:12:18 GMT-0500 2004,"&quot;Bergfossen near Tinn&quot; painted by: Johan Christian Dahl in 1831 I've never intended to post anything that wasn't my own work, but this snuck in by accident and is just too beautiful to delete quite yet... Photo taken on: Thu Dec 2 12:12:18 GMT-0500 2004",art;painting;snagged;bergfossen;tinn;johanchristiandahl;1831,sweet lil' bunny,https://www.flickr.com/photos/ezra/1864289/,Creative Commons (http://creativecommons.org/licenses),531
flickr_test_set_03,Photograph,image/jpeg,image,Grownup Ida with Leo_2607510915_o.jpg,'Grownup' Ida with Leo,2008-21-6,Tue Jun 24 13:55:54 GMT-0400 2008,We have a new friend! Photo taken on: Sat Jun 21 11:23:23 GMT-0400 2008,color;photo;newhaven;ct;usa;06511;ida;leo,sweet lil' bunny,https://www.flickr.com/photos/ezra/2607510915/,Creative Commons (http://creativecommons.org/licenses),5
flickr_test_set_04,Photograph,image/jpeg,image,nother quaint stone bridge_251473971_o.jpg,'nother quaint stone bridge,2006-24-9,Sun Sep 24 13:20:47 GMT-0400 2006,ho hum Photo taken on: Sun Sep 24 10:20:47 GMT-0400 2006,"color;photo;hadlyme;ct;usa;06439;Gillette;Castle"";gillette;castle;forest;trail;bridge;stone;""",sweet lil' bunny,https://www.flickr.com/photos/ezra/251473971/,Creative Commons (http://creativecommons.org/licenses),94
flickr_test_set_05,Photograph,image/jpeg,image,(motorboat noise)_147936989_o.jpg,(motorboat noise),2006-12-5,Tue May 16 22:36:57 GMT-0400 2006,this represents a motorized umbrella/blender that was part of the cooking process... somehow Photo taken on: Fri May 12 12:09:40 GMT-0400 2006,color;photo;denver;co;usa;jaygraduation;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/147936989/,Creative Commons (http://creativecommons.org/licenses),1
flickr_test_set_06,Photograph,image/jpeg,image,$695_3875715_o.jpg,$6.95,2005-15-1,Thu Jan 27 13:00:32 GMT-0500 2005,a bargain cactus for sale at the local hortus Photo taken on: Sat Jan 15 14:42:44 GMT-0500 2005,012205;plant;color;cactus;red;green;edgerton;garden;photo,sweet lil' bunny,https://www.flickr.com/photos/ezra/3875715/,Creative Commons (http://creativecommons.org/licenses),102
flickr_test_set_07,Photograph,image/jpeg,image,010207_carrot_459287213_o.jpg,010207_carrot,2007-2-1,Sat Apr 14 21:39:52 GMT-0400 2007,(no description) Photo taken on: Tue Jan 2 20:39:46 GMT-0500 2007,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459287213/,Creative Commons (http://creativecommons.org/licenses),0
flickr_test_set_08,Photograph,image/jpeg,image,010505 (1)_3243464_o.jpg,010505 (1),2004-26-12,Tue Jan 11 13:29:15 GMT-0500 2005,(no description) Photo taken on: Sun Dec 26 12:09:29 GMT-0500 2004,color;photo;december2004;family;merleaux;ezra;newhaven;connecticut,sweet lil' bunny,https://www.flickr.com/photos/ezra/3243464/,Creative Commons (http://creativecommons.org/licenses),0
flickr_test_set_09,Photograph,image/jpeg,image,010505 (10)_3243474_o.jpg,010505 (10),2004-26-12,Tue Jan 11 13:29:20 GMT-0500 2005,(no description) Photo taken on: Sun Dec 26 22:17:53 GMT-0500 2004,color;photo;december2004;family;merleaux;ezra;newhaven;connecticut,sweet lil' bunny,https://www.flickr.com/photos/ezra/3243474/,Creative Commons (http://creativecommons.org/licenses),0
flickr_test_set_10,Photograph,image/jpeg,image,010505 (100)_3243490_o.jpg,010505 (100),2005-1-1,Tue Jan 11 13:29:27 GMT-0500 2005,(no description) Photo taken on: Sat Jan 1 13:33:49 GMT-0500 2005,color;photo;december2004;family;merleaux;ezra;newhaven;connecticut;durham;northcarolina;myrtlebeach;southcarolina;nc,sweet lil' bunny,https://www.flickr.com/photos/ezra/3243490/,Creative Commons (http://creativecommons.org/licenses),0
